prod_rate_bin prod_rate
6658.291457286432 1.6525837191438118e-07
6909.547738693467 8.262918595719059e-08
7160.804020100502 2.478875578715718e-07
7412.060301507538 4.957751157431436e-07
7663.316582914573 4.13145929785953e-07
7914.572864321608 1.6525837191438118e-07
8165.829145728643 2.478875578715727e-07
8417.085427135677 6.610334876575247e-07
8668.341708542714 9.915502314862873e-07
8919.597989949747 1.4046961612722402e-06
9170.854271356784 1.652583719143812e-06
9422.110552763817 1.0741794174434779e-06
9673.366834170854 1.3220669753150494e-06
9924.623115577888 1.4046961612722402e-06
10175.879396984925 1.7352129051010026e-06
10427.135678391958 2.72676313658729e-06
10678.391959798995 1.900471277015384e-06
10929.648241206029 1.7352129051010026e-06
11180.904522613066 1.7352129051010026e-06
11432.160804020099 2.72676313658729e-06
11683.417085427136 3.800942554030768e-06
11934.67336683417 3.3877966242448146e-06
12185.929648241206 3.800942554030768e-06
12437.18592964824 4.21408848381672e-06
